rcid,unres,date,year,me,nu,di,co,hr,ec,developed_abstain,developed_yes,developed_no,developed_absent,developed_not_member,undeveloped_abstain,undeveloped_yes,undeveloped_no,undeveloped_absent,undeveloped_not_member
1275,R/26/2873A,1971-12-05,1971,0,0,0,1,1,0,18,57,1,6,16,1,41,0,8,49
1276,R/26/2874,1971-12-05,1971,0,0,0,1,1,0,18,54,5,5,16,0,42,0,8,49
1277,R/26/2879,1971-12-05,1971,0,0,0,1,0,0,8,67,2,5,16,0,43,0,7,49
1278,R/26/2873B,1971-12-05,1971,0,0,0,1,0,0,25,50,4,3,16,2,43,0,5,49
1279,R/26/2878,1971-12-05,1971,0,0,0,1,0,0,12,58,8,4,16,1,45,0,4,49
1280,R/26/2871,1971-12-05,1971,0,0,0,0,0,0,9,66,2,5,16,1,45,0,4,49
1281,R/26/2872,1971-12-05,1971,0,0,0,0,0,1,1,74,2,5,16,6,39,0,5,49
1282,R/26/2877,1971-12-05,1971,0,0,0,0,0,0,21,49,8,4,16,1,45,0,4,49
1283,R/26/2875,1971-12-05,1971,0,0,0,0,0,1,0,76,2,4,16,0,45,0,5,49
1284,R/26/2865,1971-12-05,1971,0,0,0,1,1,0,1,76,0,5,16,0,43,0,7,49
1285,R/26/2867,1971-12-05,1971,0,0,0,1,0,0,5,69,0,8,16,2,41,0,7,49
1286,R/26/2880,1971-12-06,1971,0,0,0,0,0,1,15,57,1,9,16,1,39,0,10,49
1287,R/26/2881A,1971-12-06,1971,0,0,0,0,0,0,35,34,7,6,16,23,21,0,6,49
1288,R/26/2881B,1971-12-06,1971,0,0,0,0,0,0,0,78,0,4,16,0,45,0,5,49
1289,R/26/2889,1971-12-07,1971,0,0,0,0,0,1,2,74,1,5,16,0,33,10,7,49
1290,R/26/2890,1971-12-07,1971,0,0,0,0,0,1,0,76,0,6,16,1,31,9,9,49
1291,R/26/2891,1971-12-07,1971,0,0,0,0,0,1,1,76,0,5,16,9,34,0,7,49
1292,R/26/2892,1971-12-07,1971,0,0,0,0,0,1,1,77,0,4,16,8,35,0,7,49
1293,R/26/2893,1971-12-07,1971,0,0,0,0,0,1,1,78,0,3,16,1,42,0,7,49
1294,R/26/2894,1971-12-07,1971,0,0,0,0,0,1,1,77,0,4,16,8,35,0,7,49
1295,R/26/2895,1971-12-07,1971,0,0,0,0,0,1,5,68,5,4,16,5,25,11,9,49
1296,R/26/2896,1971-12-07,1971,0,0,0,0,0,1,14,49,13,6,16,12,26,4,8,49
1297,R/26/2897,1971-12-07,1971,0,0,0,0,0,1,11,65,1,5,16,12,31,0,7,49
1298,R/26/2899A,1971-12-07,1971,0,0,0,0,0,1,6,72,0,4,16,1,34,9,6,49
1299,R/26/2899B,1971-12-07,1971,0,0,0,0,0,1,0,77,0,5,16,0,45,0,5,49
1300,R/26/2899C,1971-12-07,1971,0,0,0,0,0,1,2,77,0,3,16,11,33,0,6,49
1301,R/26/2900,1971-12-07,1971,0,0,0,0,0,1,1,77,1,3,16,1,35,9,5,49
1302,R/26/2901,1971-12-07,1971,0,0,0,0,0,1,2,76,0,4,16,10,35,0,5,49
1303,R/27/2930,1972-11-07,1972,0,0,1,0,0,0,1,66,0,15,16,0,39,0,11,49
1304,R/27/2932A,1972-11-07,1972,0,1,1,0,0,0,16,58,0,8,16,11,29,0,10,49
1305,R/27/2935A,1972-11-07,1972,0,1,0,0,0,0,31,45,1,5,16,28,12,0,10,49
1306,R/27/2935B,1972-11-07,1972,0,1,0,0,0,0,5,72,0,5,16,12,29,0,9,49
1307,R/27/2936,1972-11-07,1972,0,1,1,0,0,0,40,36,2,4,16,6,37,2,5,49
1308,R/27/2992,1972-12-04,1972,0,0,0,0,0,0,24,57,0,1,16,9,38,0,3,49
1309,R/27/2932B,1972-11-07,1972,0,0,1,0,0,0,14,59,0,9,16,1,40,0,9,49
1310,R/27/2933,1972-11-07,1972,0,0,1,0,0,0,1,72,0,9,16,1,41,0,8,49
1311,R/27/2931,1972-11-07,1972,0,1,0,0,0,0,1,68,0,13,16,9,32,0,9,49
1312,R/27/2934A,1972-11-07,1972,0,1,1,0,0,0,6,67,2,7,16,3,38,2,7,49
1313,R/27/2934B,1972-11-07,1972,0,1,1,0,0,0,13,58,2,9,16,10,31,2,7,49
1314,R/27/2934C,1972-11-07,1972,0,1,1,0,0,0,17,53,2,10,16,12,27,2,9,49
1315,,1972-09-05,1972,0,0,0,0,0,0,10,53,15,4,16,11,17,20,2,49
1316,R/27/2948A,1972-12-04,1972,0,0,0,0,0,0,14,29,36,3,16,7,36,4,3,49
1317,R/27/2948B,1972-12-04,1972,0,0,0,0,0,0,7,68,1,6,16,1,43,0,6,49
1318,R/27/2949A,1972-12-04,1972,0,0,0,0,0,0,24,21,31,6,16,10,4,33,3,49
1319,R/27/2949B,1972-12-04,1972,1,0,0,0,0,0,21,50,6,5,16,10,36,1,3,49
1320,R/27/3005B,1972-12-04,1972,1,0,0,1,1,0,37,31,7,7,16,12,32,3,3,49
1321,R/27/2964A,1972-12-02,1972,1,0,0,0,0,0,17,56,4,5,16,7,39,2,2,49
1322,R/27/2964B,1972-12-02,1972,1,0,0,0,0,0,17,55,4,6,16,9,38,1,2,49
1323,R/27/2964C,1972-12-02,1972,1,0,0,0,1,0,27,34,16,5,16,10,33,5,2,49
1324,R/27/2932C,1972-11-07,1972,0,0,0,0,0,0,4,66,1,11,16,3,36,0,11,49
1325,R/27/2991,1972-12-04,1972,0,0,0,0,0,0,6,75,0,1,16,2,48,0,0,49
1326,R/27/2993,1972-12-04,1972,0,0,1,0,0,0,10,68,2,2,16,1,45,0,4,49
1327,R/27/3029A,1972-12-07,1972,0,0,0,0,0,0,30,35,14,3,16,11,34,1,4,49
1328,R/27/3029B,1972-12-07,1972,0,0,0,0,0,0,14,65,0,3,16,14,35,0,1,49
1329,R/27/3016A,1972-12-07,1972,0,0,0,0,0,0,17,25,37,3,16,11,20,13,6,49
1330,R/27/3016B,1972-12-07,1972,0,0,0,0,0,0,19,50,12,1,16,6,24,14,6,49
1331,R/27/3016C,1972-12-07,1972,0,0,0,0,1,0,18,58,3,3,16,3,40,0,7,49
1332,R/27/3016D,1972-12-07,1972,0,0,0,0,0,0,18,57,3,4,16,4,38,0,8,49
1333,R/27/3016E,1972-12-07,1972,0,0,0,0,1,1,18,62,0,2,16,3,41,0,6,49
1334,R/27/3019,1972-12-07,1972,0,0,0,0,0,0,11,70,0,1,16,9,36,0,5,49
1335,R/27/3035A,1972-12-01,1972,0,0,0,0,0,0,4,57,19,2,16,4,32,6,8,49
1336,R/27/3035B,1972-12-01,1972,0,0,0,0,0,0,5,58,18,1,16,3,33,7,7,49
1337,R/27/3035C,1972-12-01,1972,0,0,0,0,0,0,20,61,0,1,16,8,35,0,7,49
1338,R/27/3040A,1972-12-01,1972,0,0,0,0,0,1,41,24,10,7,16,15,15,12,8,49
1339,R/27/3040B,1972-12-01,1972,0,0,0,0,0,1,55,17,1,9,16,32,9,1,8,49
1340,R/27/3040C,1972-12-01,1972,0,0,0,0,0,1,26,11,40,5,16,14,12,16,8,49
1341,R/27/3040D,1972-12-01,1972,0,0,0,0,0,1,5,56,20,1,16,2,43,0,5,49
1342,R/27/3041A,1972-12-01,1972,0,0,0,0,0,0,12,61,6,3,16,1,43,0,6,49
1343,R/27/3041B,1972-12-01,1972,0,0,0,0,0,0,15,66,0,1,16,9,36,0,5,49
1344,R/27/3041C,1972-12-01,1972,0,0,0,0,0,0,5,76,0,1,16,0,45,0,5,49
1345,R/27/3018A,1972-12-07,1972,0,0,0,0,0,0,19,40,18,5,16,18,16,8,8,49
1346,R/27/3018B,1972-12-07,1972,0,0,0,0,0,0,9,70,1,2,16,0,42,0,8,49
1347,R/27/3017,1972-12-07,1972,0,0,0,0,0,1,12,69,0,1,16,1,42,0,7,49
1348,R/27/3036,1972-12-01,1972,0,0,0,0,0,0,0,81,0,1,16,0,43,0,7,49
1349,R/27/3037,1972-12-01,1972,0,0,0,0,1,0,0,80,0,2,16,0,44,0,6,49
1350,R/27/3038,1972-12-01,1972,0,0,0,0,0,1,1,80,0,1,16,0,44,0,6,49
1351,R/27/3039A,1972-12-01,1972,0,0,0,0,0,0,4,58,18,2,16,1,41,0,8,49
1352,R/27/3039B,1972-12-01,1972,0,0,0,0,0,0,20,61,0,1,16,0,43,0,7,49
1353,R/27/3027,1972-12-07,1972,0,0,0,0,0,0,5,72,0,5,16,17,29,0,4,49
1354,R/27/3022,1972-12-07,1972,0,0,0,0,1,1,0,78,0,4,16,8,37,0,5,49
1355,R/27/3032A,1972-12-01,1972,0,0,0,0,1,0,0,67,0,15,16,2,38,0,10,49
1356,R/27/3032B,1972-12-07,1972,0,0,0,0,1,0,17,22,43,0,16,10,16,20,4,49
1357,R/27/3032C,1972-12-07,1972,0,0,0,0,1,0,20,62,0,0,16,5,41,0,4,49
1358,R/27/3034A,1972-09-05,1972,0,0,0,0,0,0,12,51,15,4,16,21,15,12,2,49
1359,R/27/3034B,1972-09-05,1972,0,0,0,0,0,0,12,21,45,4,16,10,26,12,2,49
1360,R/27/3034C,1972-12-07,1972,0,0,0,0,0,0,40,39,0,3,16,21,26,0,3,49
1361,R/27/3034D,1972-12-07,1972,0,0,0,0,0,0,46,32,1,3,16,23,24,0,3,49
1362,R/27/3034E,1972-12-07,1972,0,0,0,0,0,0,13,38,30,1,16,4,38,5,3,49
1363,R/27/2959,1972-12-01,1972,0,0,0,0,0,0,0,75,0,7,16,7,37,0,6,49
1364,R/27/3009,1972-12-07,1972,0,0,0,0,0,0,0,74,0,8,16,0,45,0,5,49
1365,R/27/3011,1972-12-07,1972,0,0,0,0,0,1,8,66,0,8,16,24,20,0,6,49
1366,R/27/3012A,1972-12-07,1972,0,0,0,0,0,1,0,76,0,6,16,9,37,0,4,49
1367,R/27/3012B,1972-12-07,1972,0,0,0,0,0,0,0,76,0,6,16,9,35,0,6,49
1368,R/27/3013,1972-12-07,1972,0,0,0,0,0,0,0,76,0,6,16,8,38,0,4,49
1369,R/27/3028,1972-12-07,1972,0,0,0,0,0,0,6,68,0,8,16,6,40,0,4,49
1370,R/27/2908,1972-11-01,1972,0,0,0,1,1,0,22,52,5,3,16,1,47,0,2,49
1371,R/27/2955,1972-12-01,1972,0,0,0,1,1,0,16,49,7,10,16,2,40,1,7,49
1372,R/27/2978,1972-12-03,1972,0,0,0,1,0,0,9,70,2,1,16,0,47,0,3,49
1373,R/27/2979,1972-12-03,1972,0,0,0,0,0,1,15,60,6,1,16,0,46,0,4,49
1374,R/27/2980,1972-12-03,1972,0,0,0,1,0,0,24,52,4,2,16,0,46,0,4,49
1375,R/27/2983,1972-12-03,1972,0,0,0,0,0,0,25,39,10,8,16,1,45,0,4,49
1376,R/27/2984,1972-12-03,1972,0,0,0,1,1,0,16,55,4,7,16,1,45,0,4,49
1377,R/27/2985,1972-12-03,1972,0,0,0,0,1,0,15,58,4,5,16,0,45,0,5,49
1378,R/27/2986,1972-12-03,1972,0,0,0,0,1,0,0,73,0,9,16,0,46,0,4,49
1379,R/27/2987,1972-12-03,1972,0,0,0,0,0,0,3,71,0,8,16,0,46,0,4,49
1380,R/27/2922A,1972-11-07,1972,0,0,0,0,0,0,1,73,1,7,16,0,48,0,2,49
1381,R/27/2922B,1972-11-07,1972,0,0,0,1,0,0,1,73,1,7,16,0,49,0,1,49
1382,R/27/2922C,1972-11-07,1972,0,0,0,0,0,0,7,67,2,6,16,1,48,0,1,49
1383,R/27/2922D,1972-11-07,1972,0,0,0,0,0,0,4,71,1,6,16,1,48,0,1,49
1384,R/27/2923A,1972-11-07,1972,0,0,1,0,0,0,19,53,4,6,16,2,47,0,1,49
1385,R/27/2923B,1972-12-02,1972,0,0,0,0,0,1,4,65,2,11,16,2,40,0,8,49
1386,R/27/3030,1972-12-07,1972,0,0,0,0,0,1,0,76,2,4,16,0,48,0,2,49
1387,R/27/3031,1972-12-07,1972,0,0,0,0,0,0,14,64,2,2,16,1,48,0,1,49
1388,R/27/2918,1972-11-06,1972,0,0,0,1,1,0,8,56,6,12,16,0,42,0,8,49
1389,R/27/2945,1972-12-03,1972,0,0,0,0,1,0,7,65,4,6,16,2,46,0,2,49
1390,R/27/2946,1972-12-03,1972,0,0,0,0,0,0,20,48,8,6,16,3,45,0,2,49
1391,R/27/2981,1972-12-03,1972,0,0,0,0,0,1,0,79,2,1,16,0,48,0,2,49
1392,R/27/3017,1972-12-07,1972,0,0,0,0,0,0,6,53,0,23,16,0,39,0,11,49
1393,R/27/2961A,1972-12-02,1972,0,0,0,0,0,0,0,78,0,4,16,0,50,0,0,49
1394,R/27/2961B,1972-12-02,1972,0,0,0,0,0,0,13,57,10,2,16,9,24,17,0,49
1395,R/27/2961C,1972-12-02,1972,0,0,0,0,0,1,10,59,9,4,16,9,40,0,1,49
1396,R/27/2961D,1972-12-02,1972,0,0,0,0,0,0,12,69,0,1,16,8,42,0,0,49
1397,,1972-12-01,1972,0,0,0,0,0,1,11,42,29,0,16,10,13,24,3,49
1398,,1972-12-01,1972,0,0,0,0,1,1,18,52,8,4,16,8,23,7,12,49
1399,R/27/3047,1972-12-01,1972,0,0,0,0,0,1,17,61,3,1,16,13,33,0,4,49
1400,R/27/3043,1972-12-01,1972,0,0,0,0,0,1,0,82,0,0,16,0,46,0,4,49
1401,R/27/3044A,1972-12-01,1972,0,0,0,0,0,1,3,78,0,1,16,2,35,8,5,49
1402,R/27/3044B,1972-12-01,1972,0,0,0,0,0,1,1,80,0,1,16,0,47,0,3,49
1403,R/27/3044C,1972-12-01,1972,0,0,0,0,0,1,1,80,0,1,16,8,39,0,3,49
1404,R/27/3045,1972-12-01,1972,0,0,0,0,0,1,1,79,1,1,16,1,36,8,5,49
1405,R/27/3046,1972-12-01,1972,0,0,0,0,0,1,2,79,0,1,16,0,37,8,5,49
1406,,1972-12-01,1972,0,0,0,0,0,1,2,79,0,1,16,0,47,0,3,49
1407,,1972-12-01,1972,0,0,0,0,0,1,12,68,0,2,16,0,45,0,5,49
1408,,1972-12-01,1972,0,0,0,0,0,1,0,80,0,2,16,0,45,0,5,49
1409,,1972-12-01,1972,0,0,0,0,0,1,16,63,1,2,16,8,29,8,5,49
1410,,1972-12-01,1972,0,0,0,0,0,1,13,19,48,2,16,14,22,11,3,49
1411,R/27/2926,1972-11-06,1972,0,0,0,0,0,0,21,56,0,5,16,5,37,0,8,49
1412,R/28/3184A,1973-12-02,1973,0,0,1,0,0,0,9,64,0,11,14,10,30,1,10,48
1413,R/28/3184B,1973-12-02,1973,0,1,1,0,0,0,8,64,0,12,14,3,36,2,10,48
1414,R/28/3184C,1973-12-02,1973,0,0,1,0,0,0,11,62,0,11,14,9,31,0,11,48
1415,R/28/3079,1973-12-04,1973,0,1,0,0,0,0,2,78,0,4,14,10,38,0,3,48
1416,R/28/3080,1973-12-04,1973,0,0,0,0,0,0,22,61,0,1,14,13,34,0,4,48
1417,R/28/3077,1973-12-04,1973,0,0,1,0,0,0,0,74,0,10,14,0,44,0,7,48
1418,R/28/3078A,1973-12-04,1973,0,1,1,0,0,0,16,60,3,5,14,17,29,2,3,48
1419,R/28/3078B,1973-12-04,1973,0,1,1,0,0,0,28,49,5,2,14,29,16,2,4,48
1420,R/28/3154A,1973-12-05,1973,0,1,1,0,0,0,23,47,0,14,14,5,39,0,7,48
1421,R/28/3154B,1973-12-05,1973,0,0,0,0,0,0,3,75,0,6,14,2,42,0,7,48
1422,R/28/3154C,1973-12-05,1973,0,0,0,0,0,0,19,60,0,5,14,14,31,0,6,48
1423,R/28/3154D,1973-11-03,1973,0,0,0,0,0,0,1,60,0,23,14,12,26,0,13,48
1424,,1973-10-05,1973,0,0,0,0,1,0,22,35,19,8,14,7,33,5,6,48
1425,,1973-12-03,1973,0,0,0,0,0,0,16,43,19,6,14,5,10,31,5,48
1426,R/28/3181A,1973-10-06,1973,0,0,0,0,0,0,3,42,24,15,14,0,38,2,11,48
1427,R/28/3181B,1973-10-07,1973,0,0,0,0,0,0,11,34,35,4,14,2,38,2,9,48
1428,R/28/3181C,1973-12-01,1973,0,0,0,0,0,0,20,48,13,3,14,1,45,1,4,48
1429,R/28/3181D,1973-12-01,1973,0,0,0,0,0,0,11,21,45,7,14,6,29,10,6,48
1430,R/28/3092A,1973-12-05,1973,1,0,0,1,1,0,3,77,0,4,14,2,43,0,6,48
1431,R/28/3092B,1973-12-05,1973,1,0,0,1,1,0,25,49,5,5,14,2,41,2,6,48
1432,R/28/3089A,1973-12-05,1973,1,0,0,0,1,0,10,68,2,4,14,2,42,2,5,48
1433,R/28/3089B,1973-12-05,1973,1,0,0,1,1,0,29,48,4,3,14,4,39,2,6,48
1434,R/28/3089C,1973-12-05,1973,0,0,0,0,0,0,20,47,12,5,14,8,17,16,10,48
1435,R/28/3089D,1973-12-05,1973,0,0,0,0,0,0,45,14,19,6,14,17,21,1,12,48
1436,R/28/3171A,1973-12-01,1973,0,0,0,0,0,0,24,17,39,4,14,13,12,20,6,48
1437,R/28/3171B,1973-12-01,1973,0,0,0,0,0,0,13,64,0,7,14,1,44,0,6,48
1438,R/28/3171C,1973-12-01,1973,0,0,0,0,0,0,21,49,10,4,14,7,37,1,6,48
1439,R/28/3171D,1973-12-01,1973,0,0,0,0,1,0,15,64,1,4,14,1,44,0,6,48
1440,R/28/3175A,1973-12-01,1973,0,0,0,1,0,0,21,53,3,7,14,3,40,1,7,48
1441,R/28/3175B,1973-12-01,1973,1,0,0,1,1,0,22,51,4,7,14,4,39,1,7,48
1442,R/28/3122,1973-12-04,1973,0,0,0,0,0,1,15,65,0,4,14,10,35,0,6,48
1443,R/28/3083,1973-12-04,1973,0,0,0,0,0,0,17,56,5,6,14,9,39,0,3,48
1444,R/28/3081A,1973-12-04,1973,0,0,0,0,0,1,1,79,0,4,14,9,39,0,3,48
1445,R/28/3081B,1973-12-04,1973,0,0,0,0,0,0,1,80,0,3,14,9,38,0,4,48
1446,R/28/3093A,1973-12-05,1973,0,0,0,0,0,1,33,45,0,6,14,5,38,2,6,48
1447,R/28/3093B,1973-12-05,1973,0,0,0,0,0,1,21,57,0,6,14,5,36,2,8,48
1448,R/28/3167,1973-12-01,1973,0,0,0,0,0,0,9,70,0,5,14,9,36,0,6,48
1449,R/28/3169,1973-12-01,1973,0,0,0,0,1,1,12,68,0,4,14,3,42,0,6,48
1450,R/28/3172,1973-12-01,1973,0,0,0,0,0,1,0,79,0,5,14,0,44,0,7,48
1451,R/28/3129,1973-12-04,1973,0,0,0,0,0,0,25,49,5,5,14,18,28,0,5,48
1452,R/28/3128,1973-12-04,1973,0,0,0,0,0,0,24,56,0,4,14,14,33,0,4,48
1453,R/28/3148,1973-12-05,1973,0,0,0,0,0,1,4,78,0,2,14,1,45,0,5,48
1454,R/28/3149A,1973-12-05,1973,0,0,0,0,1,0,1,81,0,2,14,9,37,0,5,48
1455,R/28/3149B,1973-12-05,1973,0,0,0,0,1,1,15,67,0,2,14,2,45,0,4,48
1456,R/28/3187,1973-12-02,1973,0,0,0,0,0,0,17,65,0,2,14,0,48,0,3,48
1457,R/28/3074A,1973-11-07,1973,0,0,0,0,1,0,16,54,7,7,14,12,20,14,5,48
1458,R/28/3074B,1973-12-01,1973,0,0,0,0,0,0,51,2,21,10,14,28,3,15,5,48
1459,R/28/3074C,1973-12-01,1973,0,0,0,0,0,0,56,13,5,10,14,38,6,2,5,48
1460,R/28/3074D,1973-12-01,1973,0,0,0,0,0,0,54,5,15,10,14,28,4,14,5,48
1461,R/28/3074E,1973-12-01,1973,0,0,0,0,0,0,22,54,0,8,14,7,40,0,4,48
1462,R/28/3117A,1973-12-03,1973,0,0,0,0,1,0,5,66,0,13,14,1,41,0,9,48
1463,R/28/3117B,1973-12-03,1973,0,0,0,1,1,0,18,42,12,12,14,1,41,1,8,48
1464,R/28/3142,1973-12-05,1973,0,0,0,0,1,0,14,67,0,3,14,9,38,0,4,48
1465,R/28/3110,1973-12-03,1973,0,0,0,1,0,0,9,70,2,3,14,1,44,0,6,48
1466,R/28/3118,1973-12-03,1973,0,0,0,1,0,0,21,57,3,3,14,2,46,0,3,48
1467,R/28/3117,1973-12-03,1973,0,0,0,1,0,1,15,62,4,3,14,2,46,0,3,48
1468,R/28/3156,1973-12-05,1973,0,0,0,1,1,0,16,61,4,3,14,2,45,0,4,48
1469,R/28/3164A,1973-12-05,1973,0,0,0,1,1,0,17,59,5,3,14,2,45,0,4,48
1470,R/28/3164B,1973-12-05,1973,0,0,0,1,0,0,5,76,2,1,14,0,45,0,6,48
1471,R/28/3163,1973-12-05,1973,0,0,0,1,0,0,6,75,2,1,14,0,46,0,5,48
1472,R/28/3155,1973-12-05,1973,0,0,0,1,1,0,0,80,0,4,14,0,48,0,3,48
1473,R/28/3157,1973-12-05,1973,0,0,0,1,1,0,18,63,0,3,14,1,47,0,3,48
1474,R/28/3158,1973-12-05,1973,0,0,0,1,1,0,13,65,5,1,14,0,48,0,3,48
1475,R/28/3159,1973-12-05,1973,0,0,0,1,1,0,15,67,0,2,14,0,48,0,3,48
1476,R/28/3160,1973-12-05,1973,0,0,0,0,0,0,14,68,0,2,14,0,48,0,3,48
1477,R/28/3161,1973-12-05,1973,0,0,0,1,1,0,18,63,0,3,14,0,47,0,4,48
1478,R/28/3162,1973-12-05,1973,0,0,0,0,0,0,23,60,0,1,14,0,48,0,3,48
1479,R/28/3055,1973-10-01,1973,0,0,0,0,0,0,2,70,1,11,14,0,42,0,9,48
1480,R/28/3151A,1973-12-05,1973,0,0,0,0,0,1,11,67,1,5,14,1,40,0,10,48
1481,R/28/3151B,1973-12-05,1973,0,0,0,0,0,0,3,76,2,3,14,1,43,0,7,48
1482,R/28/3151C,1973-12-05,1973,0,0,0,0,0,0,3,77,1,3,14,0,46,0,5,48
1483,R/28/3151D,1973-12-05,1973,0,0,0,0,0,0,3,76,2,3,14,2,45,0,4,48
1484,R/28/3151E,1973-12-05,1973,0,0,0,0,1,0,8,72,1,3,14,2,45,0,4,48
1485,R/28/3151F,1973-12-05,1973,0,0,0,1,0,0,20,45,3,16,14,3,39,0,9,48
1486,R/28/3151G,1973-12-05,1973,0,0,0,0,0,0,18,30,29,7,14,9,33,2,7,48
1487,R/28/3151H,1973-12-05,1973,0,0,0,0,0,0,17,55,1,11,14,2,44,0,5,48
1488,R/28/3111,1973-12-03,1973,0,0,0,0,0,0,0,72,1,11,14,0,45,0,6,48
1489,R/28/3112,1973-12-03,1973,0,0,0,1,0,1,19,50,7,8,14,1,38,0,12,48
1490,R/28/3061A,1973-10-03,1973,0,0,0,0,0,0,29,46,7,2,14,1,47,0,3,48
1491,R/28/3061B,1973-11-03,1973,0,0,0,1,0,0,21,26,28,9,14,6,35,3,7,48
1492,R/28/3113A,1973-12-03,1973,0,0,0,1,1,0,6,67,3,8,14,10,36,0,5,48
1493,R/28/3113B,1973-12-03,1973,0,0,0,1,0,0,13,59,3,9,14,0,41,0,10,48
1494,R/28/3115,1973-12-03,1973,0,0,0,1,1,0,19,50,4,11,14,1,41,0,9,48
1495,R/28/3116,1973-12-03,1973,0,0,0,0,0,0,0,73,2,9,14,0,42,0,9,48
1496,R/28/3119,1973-12-03,1973,0,0,0,0,0,1,14,25,5,40,14,2,27,0,22,48
1497,R/28/3101,1973-12-02,1973,0,0,0,0,0,0,1,65,1,17,14,0,43,2,6,48
1498,R/28/3195A,1973-12-02,1973,0,0,0,0,0,1,6,72,0,6,14,1,34,8,8,48
1499,R/28/3195B,1973-12-02,1973,0,0,0,0,0,1,2,77,0,5,14,9,36,0,6,48
1500,R/28/3196,1973-12-02,1973,0,0,0,0,0,1,2,76,1,5,14,1,35,8,7,48
1501,R/28/3197,1973-12-02,1973,0,0,0,0,0,1,0,79,1,4,14,0,35,9,7,48
1502,R/28/3198A,1973-12-02,1973,0,0,0,0,0,1,18,41,21,4,14,17,13,17,4,48
1503,R/28/3198B,1973-12-02,1973,0,0,0,0,0,1,13,54,14,3,14,15,17,16,3,48
1504,R/28/3198C,1973-12-02,1973,0,0,0,0,0,1,11,67,1,5,14,17,30,1,3,48
1505,R/28/3198D,1973-12-02,1973,0,0,0,0,0,1,0,78,0,6,14,9,39,0,3,48
1506,R/29/3255A,1974-12-02,1974,0,0,1,0,0,0,3,73,0,8,14,10,35,0,9,45
1507,R/29/3255B,1974-12-02,1974,0,0,1,0,0,0,17,62,0,5,14,10,36,0,8,45
1508,R/29/3259,1974-12-02,1974,0,0,0,0,0,0,16,64,0,4,14,10,39,0,5,45
1509,R/29/3261A,1974-12-02,1974,0,1,1,0,0,0,10,70,0,4,14,13,35,1,5,45
1510,R/29/3261B,1974-12-02,1974,0,0,1,0,0,0,10,69,1,4,14,19,28,2,5,45
1511,R/29/3261C,1974-12-02,1974,0,0,1,0,0,0,7,73,0,4,14,9,39,1,5,45
1512,R/29/3261D,1974-12-02,1974,0,0,1,0,0,0,6,73,0,5,14,9,39,1,5,45
1513,R/29/3261E,1974-12-02,1974,0,0,1,0,0,0,7,72,0,5,14,6,42,1,5,45
1514,R/29/3261F,1974-12-02,1974,0,0,1,0,0,0,7,73,0,4,14,7,40,1,6,45
1515,R/29/3261G,1974-12-02,1974,0,0,1,0,0,0,6,74,0,4,14,14,34,1,5,45
1516,R/29/3261H,1974-12-02,1974,0,1,1,0,0,0,6,73,0,5,14,6,42,3,3,45
1517,R/29/3332,1974-12-03,1974,0,0,0,0,0,0,13,69,1,1,14,1,50,0,3,45
1518,R/29/3262A,1974-12-02,1974,0,1,0,0,0,0,3,77,0,4,14,12,37,0,5,45
1519,R/29/3261I,1974-12-02,1974,0,1,1,0,0,0,0,80,0,4,14,0,51,0,3,45
1520,R/29/3262B,1974-12-02,1974,0,1,0,0,0,0,5,75,0,4,14,12,40,0,2,45
1521,R/29/3263A,1974-12-02,1974,0,1,0,0,0,0,5,71,0,8,14,6,42,0,6,45
1522,R/29/3263B,1974-12-02,1974,0,1,1,0,0,0,0,80,0,4,14,2,48,0,4,45
1523,R/29/3265A,1974-12-02,1974,0,1,0,0,0,0,17,64,0,3,14,10,40,1,3,45
1524,R/29/3265B,1974-12-02,1974,0,1,0,0,0,0,16,66,0,2,14,20,30,2,2,45
1525,R/29/3213,1974-11-01,1974,0,1,0,0,0,0,6,42,0,36,14,3,24,0,27,45
1526,R/29/3257,1974-12-02,1974,0,1,1,0,0,0,15,65,1,3,14,18,30,2,4,45
1527,R/29/3257A,1974-11-02,1974,0,0,0,0,0,0,12,49,20,3,14,8,9,36,1,45
1528,R/29/3257B,1974-11-02,1974,0,0,0,0,0,0,14,48,19,3,14,10,8,35,1,45
1529,R/29/3257C,1974-11-04,1974,0,0,0,0,0,0,22,0,60,2,14,10,0,42,2,45
1530,R/29/3323C,1974-12-02,1974,0,0,0,0,0,0,11,18,52,3,14,8,35,9,2,45
1531,R/29/3333,1974-12-03,1974,0,0,0,0,0,0,16,51,16,1,14,15,10,27,2,45
1532,R/29/3323A,1974-09-02,1974,0,0,0,0,0,0,13,47,22,2,14,1,51,1,1,45
1533,R/29/3323B,1974-09-02,1974,0,0,0,0,1,0,7,74,1,2,14,2,51,0,1,45
1534,R/29/3237,1974-11-04,1974,1,0,0,0,0,0,16,46,16,6,14,3,49,1,1,45
1535,R/29/3210,1974-10-04,1974,1,0,0,0,0,0,17,59,3,5,14,3,46,1,4,45
1536,R/29/3236,1974-11-04,1974,1,0,0,0,1,0,32,42,7,3,14,5,47,1,1,45
1537,R/29/3240A,1974-11-04,1974,1,0,0,1,1,0,28,47,3,6,14,3,48,1,2,45
1538,R/29/3240B,1974-11-04,1974,1,0,0,1,1,0,4,73,0,7,14,3,48,0,3,45
1539,R/29/3240C,1974-11-04,1974,1,0,0,1,1,0,31,43,3,7,14,5,46,1,2,45
