rcid,unres,date,year,me,nu,di,co,hr,ec,developed_abstain,developed_yes,developed_no,developed_absent,developed_not_member,undeveloped_abstain,undeveloped_yes,undeveloped_no,undeveloped_absent,undeveloped_not_member
63,R/2/1078B,1947-11-01,1947,0,0,0,0,0,0,0,0,0,0,0,3,40,9,5,140
64,R/2/1079A,1947-11-01,1947,0,0,0,0,0,0,0,0,0,0,0,0,44,8,5,140
65,R/2/1079B,1947-11-01,1947,0,0,0,0,0,0,0,0,0,0,0,1,43,8,5,140
66,R/2/1079C,1947-11-01,1947,0,0,0,0,0,0,0,0,0,0,0,0,44,8,5,140
67,R/2/1080,1947-11-01,1947,0,0,0,0,0,0,0,0,0,0,0,1,43,8,5,140
68,R/2/1095A,1947-11-01,1947,0,0,0,0,0,0,0,0,0,0,0,11,37,5,4,140
69,R/2/1095B,1947-11-01,1947,0,0,0,0,0,0,0,0,0,0,0,8,29,16,4,140
70,R/2/1096,1947-11-01,1947,0,0,0,0,0,0,0,0,0,0,0,12,36,5,4,140
71,R/2/1169,1947-11-04,1947,0,0,0,0,0,0,0,0,0,0,0,6,31,19,1,140
72,R/2/1170,1947-11-04,1947,0,0,0,0,0,0,0,0,0,0,0,3,24,29,1,140
73,R/2/1214,1947-11-04,1947,0,0,0,0,0,1,0,0,0,0,0,11,30,10,6,140
74,R/2/1305,1947-11-05,1947,0,0,0,0,0,0,0,0,0,0,0,8,29,15,5,140
75,R/2/1306A,1947-11-05,1947,0,0,0,0,0,0,0,0,0,0,0,2,34,15,6,140
76,R/2/1306B,1947-11-05,1947,0,0,0,0,0,0,0,0,0,0,0,14,38,0,5,140
77,R/2/1424,1947-11-06,1947,1,0,0,0,0,1,0,0,0,0,0,10,33,13,1,140
9001,SS/1/59,1947-05-06,1947,1,0,0,0,0,0,0,0,0,0,0,9,15,24,7,142
9002,SS/1/114,1947-05-06,1947,1,0,0,0,0,0,0,0,0,0,0,7,7,39,2,142
9003,SS/1/115,1947-05-06,1947,1,0,0,0,0,0,0,0,0,0,0,3,43,7,2,142
9004,SS/1/175,1947-05-02,1947,1,0,0,0,0,0,0,0,0,0,0,13,40,0,2,142
9005,SS/1/176A,1947-05-02,1947,1,0,0,0,0,0,0,0,0,0,0,1,44,7,3,142
9006,SS/1/176B,1947-05-02,1947,1,0,0,0,0,0,0,0,0,0,0,1,44,7,3,142
78,R/3/103,1948-09-02,1948,0,0,0,0,0,0,0,0,0,0,0,10,16,29,3,139
79,R/3/108,1948-09-02,1948,0,0,0,0,1,0,0,0,0,0,0,17,7,30,4,139
80,R/3/367,1948-10-05,1948,0,0,0,0,0,1,0,0,0,0,0,13,6,30,9,139
81,R/3/393A,1948-11-05,1948,0,0,0,1,0,0,0,0,0,0,0,2,41,6,9,139
82,R/3/393B,1948-11-05,1948,0,0,0,1,0,0,0,0,0,0,0,0,44,7,7,139
83,R/3/393C,1948-11-05,1948,0,0,0,1,0,0,0,0,0,0,0,7,44,0,7,139
84,R/3/394,1948-11-05,1948,0,0,0,1,0,0,0,0,0,0,0,7,44,0,7,139
85,R/3/468,1948-11-06,1948,0,0,1,0,0,0,0,0,0,0,0,5,6,40,7,139
86,R/3/469A,1948-11-06,1948,0,0,0,0,0,0,0,0,0,0,0,26,9,15,8,139
87,R/3/469B,1948-11-06,1948,0,0,0,0,0,0,0,0,0,0,0,15,5,31,7,139
88,R/3/489,1948-11-06,1948,0,0,0,1,0,0,0,0,0,0,0,2,29,23,4,139
89,R/3/490A,1948-11-06,1948,0,0,0,1,0,0,0,0,0,0,0,12,24,19,3,139
90,R/3/490B,1948-11-06,1948,0,0,0,1,0,0,0,0,0,0,0,9,26,20,3,139
91,R/3/491A,1948-11-06,1948,0,0,0,1,0,0,0,0,0,0,0,10,25,20,3,139
92,R/3/491B,1948-11-06,1948,0,0,0,1,0,0,0,0,0,0,0,10,25,20,3,139
93,R/3/497,1948-11-06,1948,0,0,0,0,0,1,0,0,0,0,0,12,30,11,5,139
94,R/3/564A,1948-11-07,1948,0,1,1,0,0,0,0,0,0,0,0,6,6,38,8,139
95,R/3/564B,1948-11-07,1948,0,1,1,0,0,0,0,0,0,0,0,14,6,30,8,139
96,R/3/565A,1948-11-07,1948,0,0,1,0,0,0,0,0,0,0,0,14,7,31,6,139
97,R/3/565B,1948-11-07,1948,0,0,1,0,0,0,0,0,0,0,0,19,9,24,6,139
98,R/3/566A,1948-11-07,1948,0,0,1,0,0,0,0,0,0,0,0,5,6,42,5,139
99,R/3/566B,1948-11-07,1948,0,0,1,0,0,0,0,0,0,0,0,10,6,36,6,139
100,R/3/566C,1948-11-07,1948,0,1,1,0,0,0,0,0,0,0,0,9,6,37,6,139
101,R/3/567,1948-11-07,1948,0,0,1,0,0,0,0,0,0,0,0,10,6,36,6,139
102,R/3/592,1948-11-07,1948,0,0,0,1,0,0,0,0,0,0,0,5,32,14,7,139
103,R/3/609,1948-11-07,1948,0,0,0,0,0,1,0,0,0,0,0,8,6,33,11,139
104,R/3/663,1948-11-01,1948,0,0,0,0,0,0,0,0,0,0,0,10,7,37,4,139
105,R/3/701,1948-12-03,1948,0,0,0,0,0,1,0,0,0,0,0,6,47,0,5,139
106,R/3/708,1948-12-03,1948,0,0,0,0,0,0,0,0,0,0,0,5,30,19,4,139
107,R/3/709,1948-12-03,1948,0,0,0,0,0,0,0,0,0,0,0,12,34,8,4,139
108,R/3/729,1948-12-05,1948,0,0,0,0,0,0,0,0,0,0,0,12,8,38,0,139
109,R/3/730,1948-12-05,1948,0,0,0,0,0,0,0,0,0,0,0,6,19,33,0,139
110,R/3/731,1948-12-05,1948,0,0,0,0,0,0,0,0,0,0,0,12,14,32,0,139
111,R/3/732,1948-12-05,1948,0,0,0,0,0,0,0,0,0,0,0,21,21,16,0,139
112,R/3/733,1948-12-05,1948,0,0,0,0,0,0,0,0,0,0,0,2,43,13,0,139
113,R/3/754,1948-12-06,1948,0,0,0,0,0,1,0,0,0,0,0,5,5,48,0,139
114,R/3/756,1948-12-06,1948,0,0,0,0,0,0,0,0,0,0,0,7,30,21,0,139
115,R/3/757,1948-12-06,1948,0,0,0,0,0,0,0,0,0,0,0,5,32,20,1,139
116,R/3/766,1948-12-07,1948,0,0,0,0,0,0,0,0,0,0,0,9,11,31,7,139
117,R/3/801,1948-12-07,1948,0,0,0,0,0,0,0,0,0,0,0,0,41,6,11,139
118,R/3/847,1948-12-01,1948,0,0,0,0,0,0,0,0,0,0,0,8,14,31,5,139
119,R/3/848A,1948-12-01,1948,0,0,0,0,0,0,0,0,0,0,0,8,8,39,3,139
120,R/3/848B,1948-12-01,1948,0,0,0,0,0,0,0,0,0,0,0,14,10,31,3,139
121,R/3/849,1948-12-01,1948,0,0,0,0,0,0,0,0,0,0,0,14,19,23,2,139
122,R/3/851,1948-12-01,1948,0,0,0,1,0,0,0,0,0,0,0,0,56,0,2,139
123,R/3/930,1948-12-02,1948,0,0,0,1,1,0,0,0,0,0,0,14,8,34,2,139
124,R/3/931A,1948-12-02,1948,0,0,0,0,1,0,0,0,0,0,0,9,6,41,2,139
125,R/3/931B,1948-12-02,1948,0,0,0,0,1,0,0,0,0,0,0,11,9,36,2,139
126,R/3/931C,1948-12-02,1948,0,0,0,0,1,0,0,0,0,0,0,14,10,32,2,139
127,R/3/933,1948-12-02,1948,0,0,0,0,1,0,0,0,0,0,0,8,48,0,2,139
128,R/3/993A,1948-12-03,1948,1,0,0,0,0,0,0,0,0,0,0,5,6,47,0,139
129,R/3/993B,1948-12-03,1948,1,0,0,0,0,0,0,0,0,0,0,3,46,8,1,139
130,R/3/995,1948-12-03,1948,1,0,0,0,0,0,0,0,0,0,0,29,11,17,1,139
131,R/3/996,1948-12-03,1948,1,0,0,0,0,0,0,0,0,0,0,8,35,15,0,139
132,R/3/997,1948-12-03,1948,0,0,0,0,0,0,0,0,0,0,0,4,53,0,1,139
133,R/3/1002,1948-12-03,1948,0,0,0,0,0,1,0,0,0,0,0,6,48,0,4,139
134,R/3/1042,1948-12-04,1948,0,0,0,0,0,0,0,0,0,0,0,1,48,6,3,139
9007,SS/2/33,1948-05-05,1948,1,0,0,0,0,0,0,0,0,0,0,28,15,11,4,139
9008,SS/2/34A,1948-05-05,1948,1,0,0,0,0,0,0,0,0,0,0,28,14,11,5,139
9009,SS/2/34B,1948-05-05,1948,1,0,0,0,0,0,0,0,0,0,0,26,17,11,4,139
9010,SS/2/35A,1948-05-05,1948,1,0,0,0,0,1,0,0,0,0,0,23,19,12,4,139
9011,SS/2/35B,1948-05-05,1948,1,0,0,0,0,1,0,0,0,0,0,25,17,12,4,139
9012,SS/2/36,1948-05-05,1948,1,0,0,0,0,0,0,0,0,0,0,19,20,15,4,139
9013,SS/2/44,1948-05-05,1948,1,0,0,0,0,0,0,0,0,0,0,16,31,7,4,139
135,R/3/36A,1949-04-01,1949,0,0,0,0,0,0,0,0,0,0,0,6,10,40,2,139
136,R/3/36B,1949-04-01,1949,0,0,0,0,0,0,0,0,0,0,0,12,41,3,2,139
137,R/3/47A,1949-04-02,1949,1,0,0,0,0,0,0,0,0,0,0,3,46,7,2,139
138,R/3/47B,1949-04-02,1949,1,0,0,0,0,0,0,0,0,0,0,7,31,18,2,139
139,R/3/129A,1949-04-03,1949,0,0,0,0,0,0,0,0,0,0,0,26,7,17,8,139
140,R/3/129B,1949-04-03,1949,0,0,0,0,0,0,0,0,0,0,0,22,7,21,8,139
141,R/3/130A,1949-04-03,1949,0,0,0,0,0,0,0,0,0,0,0,5,6,40,7,139
142,R/3/130B,1949-04-03,1949,0,0,0,0,0,0,0,0,0,0,0,5,6,40,7,139
143,R/3/163,1949-04-07,1949,0,0,0,0,1,0,0,0,0,0,0,11,39,6,2,139
144,R/3/163,1949-04-07,1949,0,0,0,0,0,0,0,0,0,0,0,11,39,6,2,139
145,R/3/272A,1949-04-05,1949,0,0,0,0,1,0,0,0,0,0,0,9,40,0,9,139
146,R/3/272B,1949-04-05,1949,0,0,0,0,1,0,0,0,0,0,0,9,34,6,9,139
147,R/3/272C,1949-04-05,1949,0,0,0,0,1,0,0,0,0,0,0,9,34,6,9,139
148,R/3/330,1949-05-04,1949,1,0,0,0,0,0,0,0,0,0,0,9,37,12,1,138
149,R/3/426,1949-05-06,1949,0,0,0,0,0,0,0,0,0,0,0,13,33,6,7,138
150,R/3/455,1949-05-07,1949,0,0,0,0,0,0,0,0,0,0,0,10,47,1,1,138
151,R/3/501A,1949-05-02,1949,0,0,0,0,0,0,0,0,0,0,0,16,26,15,2,138
152,R/3/501B,1949-05-02,1949,0,0,0,0,0,0,0,0,0,0,0,20,8,28,3,138
153,R/3/502A,1949-05-02,1949,0,0,0,0,0,0,0,0,0,0,0,18,8,30,3,138
154,R/3/502B,1949-05-02,1949,0,0,0,0,0,0,0,0,0,0,0,13,10,33,3,138
155,R/3/502C,1949-05-02,1949,0,0,0,0,0,0,0,0,0,0,0,13,8,35,3,138
156,R/3/503A,1949-05-02,1949,0,0,0,0,0,0,0,0,0,0,0,13,7,35,4,138
157,R/3/503B,1949-05-02,1949,0,0,0,0,0,0,0,0,0,0,0,16,7,33,3,138
158,R/3/504,1949-05-02,1949,0,0,0,0,0,1,0,0,0,0,0,4,6,46,3,138
159,R/3/584A,1949-05-03,1949,0,0,0,0,0,0,0,0,0,0,0,9,23,27,0,138
160,R/3/584B,1949-05-03,1949,0,0,0,0,0,0,0,0,0,0,0,8,35,16,0,138
161,R/3/585A,1949-05-03,1949,0,0,0,1,0,0,0,0,0,0,0,8,10,41,0,138
162,R/3/585B,1949-05-03,1949,0,0,0,0,0,0,0,0,0,0,0,6,36,17,0,138
163,R/3/586,1949-05-03,1949,0,0,0,0,0,0,0,0,0,0,0,7,36,15,1,138
